번호,시간,회사명,종목코드,공시제목,제출인
1,2011-02-15 14:43,대한해운,005880,회생절차개시결정,대한해운
2,2011-02-15 14:51,대한해운,005880,매매거래정지및정지해제(회생절차개시결정),유가증권시장본부
3,2011-04-27 18:03,씨모텍,081090,회생절차개시결정,씨모텍
4,2011-05-11 17:43,에피밸리,068630,회생절차개시결정,에피밸리
5,2011-05-11 17:43,에피밸리,068630,주권매매거래정지해제(회생절차개시결정),코스닥시장본부
6,2011-06-30 17:46,큐앤에스,052880,회생절차개시결정,모아에스앤에스
7,2011-06-30 17:46,큐앤에스,052880,주권매매거래정지기간변경(회생절차개시결정),코스닥시장본부
8,2011-07-12 17:56,동양건설,005900,회생절차개시결정,동양건설산업
9,2011-07-12 18:09,동양건설,005900,매매거래정지및정지해제(회생절차개시결정),유가증권시장본부
10,2011-08-10 17:55,대우송도개발,004550,회생절차개시결정,대우송도개발
11,2011-08-10 18:19,대우송도개발,004550,매매거래정지및정지해제(회생절차개시결정에 따른 정지해제),유가증권시장본부
12,2011-11-04 17:53,미리넷,056710,회생절차개시결정[정],미리넷
13,2011-11-07 14:42,미리넷,056710,[정정]회생절차개시결정[정],미리넷
14,2011-11-08 17:44,범양건영,002410,회생절차개시결정,범양건영
15,2011-12-22 17:37,CT&T,050470,회생절차개시결정,씨티앤티
16,2011-12-28 14:41,미성포리테크,094700,회생절차개시결정,미성포리테크
17,2011-12-28 14:41,미성포리테크,094700,주권매매거래정지해제(회생절차개시결정),코스닥시장본부
18,2011-12-30 17:54,미리넷,056710,[정정]회생절차개시결정[정],미리넷
19,2012-02-23 17:57,미리넷,056710,[정정]회생절차개시결정,미리넷
20,2012-04-27 16:30,동양텔레콤,007150,회생절차개시결정,동양텔레콤
21,2012-04-27 16:30,동양텔레콤,007150,주권매매거래정지기간변경(회생절차개시 결정),코스닥시장본부
22,2012-05-10 18:03,풍림산업,001310,회생절차개시결정,풍림산업
23,2012-06-26 15:54,범양건영,002410,회생절차개시결정,범양건영
24,2012-07-03 17:48,벽산건설,002530,회생절차개시결정,벽산건설
25,2012-07-03 18:21,벽산건설,002530,매매거래정지및정지해제(회생절차개시 결정),유가증권시장본부
26,2012-07-23 16:29,삼환기업,000360,회생절차개시결정,삼환기업
27,2012-07-23 16:43,삼환기업,000360,매매거래정지및정지해제(회생절차개시 결정),유가증권시장본부
28,2012-08-09 17:33,남광토건,001260,회생절차개시결정[정],남광토건
29,2012-08-09 17:43,남광토건,001260,매매거래정지및정지해제(회생절차개시 결정),유가증권시장본부
30,2012-09-21 11:04,남광토건,001260,[정정]회생절차개시결정,남광토건
31,2012-10-11 16:04,웅진,016880,회생절차개시결정[정],웅진
32,2012-10-11 16:05,웅진,016880,회생절차개시결정(자회사의 주요경영사항)[정],웅진
33,2012-10-11 17:45,웅진,016880,매매거래정지및정지해제(회생절차개시 결정),유가증권시장본부
34,2012-11-02 16:30,엘컴텍,037950,회생절차개시결정,엘컴텍
35,2012-11-02 16:30,엘컴텍,037950,주권매매거래정지해제(회생절차개시결정),코스닥시장본부
36,2012-11-13 16:19,신일건업,014350,회생절차개시결정,신일건업
37,2012-12-18 17:34,웅진,016880,[정정]회생절차개시결정[정],웅진
38,2012-12-18 17:34,웅진,016880,[정정]회생절차개시결정(자회사의 주요경영사항)[정],웅진
39,2013-01-10 16:48,휴먼텍코리아,066060,회생절차개시결정,휴먼텍코리아
40,2013-01-10 16:49,휴먼텍코리아,066060,주권매매거래정지해제(회생절차개시 결정),코스닥시장본부
41,2013-01-18 15:39,삼우이엠씨,026250,회생절차개시결정,삼우이엠씨
42,2013-01-18 15:40,삼우이엠씨,026250,주권매매거래정지해제(회생절차개시결정),코스닥시장본부
43,2013-02-12 16:33,웅진,016880,[정정]회생절차개시결정,웅진
44,2013-02-12 16:37,웅진,016880,[정정]회생절차개시결정(자회사의 주요경영사항),웅진
45,2013-02-15 15:06,엠텍비젼,074000,회생절차개시결정,에스지피엠
46,2013-02-15 15:06,엠텍비젼,074000,주권매매거래정지해제(회생절차개시결정),코스닥시장본부
47,2013-02-28 17:32,한일건설,006440,회생절차개시결정,한일건설
48,2013-04-08 14:10,롯데관광개발,032350,회생절차개시결정,롯데관광개발
49,2013-04-10 16:21,마이스코,088700,주권매매거래정지기간변경(회생절차개시 결정),코스닥시장본부
50,2013-04-10 16:21,마이스코,088700,회생절차개시결정,마이스코
51,2013-05-15 15:26,현대페인트,011720,회생절차개시결정,현대페인트
52,2013-05-15 15:59,현대페인트,011720,매매거래정지및정지해제(회생절차개시결정),유가증권시장본부
53,2013-06-10 17:17,보루네오가구,004740,회생절차개시결정,보루네오가구
54,2013-06-10 18:50,보루네오가구,004740,매매거래정지및정지해제(회생절차개시결정),유가증권시장본부
55,2013-06-17 16:38,팬오션,028670,회생절차개시결정,팬오션
56,2013-06-17 17:17,팬오션,028670,매매거래정지및정지해제(회생절차개시결정),유가증권시장본부
57,2013-10-17 15:03,동양,001520,회생절차개시결정,동양
58,2013-10-17 15:04,동양,001520,매매거래정지및정지해제(회생절차개시 결정),유가증권시장본부
59,2013-10-17 15:57,삼표시멘트,038500,회생절차개시결정,삼표시멘트
60,2013-10-17 16:28,비케이탑스,030790,회생절차개시결정,비케이탑스
61,2013-10-17 16:52,삼표시멘트,038500,주권매매거래정지해제(회생절차개시결정),코스닥시장본부
1,2014-01-09 17:34,쌍용건설,012650,회생절차개시결정[정],쌍용건설
2,2014-01-09 17:47,쌍용건설,012650,[정정]회생절차개시결정,쌍용건설
3,2014-01-09 18:14,쌍용건설,012650,주권매매거래정지기간변경(회생절차개시결정),코스닥시장본부
4,2014-02-27 15:32,태산엘시디,036210,회생절차개시결정,태산엘시디
5,2014-02-27 17:52,태산엘시디,036210,주권매매거래정지기간변경(회생절차개시결정),코스닥시장본부
6,2014-03-21 18:35,케이티이엔에스,019070,[채권]회생절차개시결정,케이티엔지니어링
7,2014-04-14 15:47,디지텍시스템,091690,회생절차개시결정[정],디지텍시스템스
8,2014-04-14 17:28,디지텍시스템,091690,주권매매거래정지기간변경(회생절차개시결정),코스닥시장본부
9,2014-04-25 14:25,제이준코스메틱,025620,회생절차개시결정[정],제이준코스메틱
10,2014-05-02 15:51,로케트전기,000420,회생절차개시결정[정],로케트전기
11,2014-05-29 13:24,뉴아세아,013340,회생절차개시결정,뉴아세아조인트
12,2014-05-29 18:18,뉴아세아,013340,주권매매거래정지기간변경(회생절차개시결정),코스닥시장본부
13,2014-06-12 16:01,디지텍시스템,091690,[정정]회생절차개시결정,디지텍시스템스
14,2014-06-26 17:29,로케트전기,000420,[정정]회생절차개시결정,로케트전기
15,2014-07-15 14:53,제이준코스메틱,025620,[정정]회생절차개시결정,제이준코스메틱
16,2014-08-28 11:09,넥솔론,110570,회생절차개시결정,넥솔론
17,2014-10-22 16:30,울트라건설,004320,회생절차개시결정,호반산업
18,2014-10-22 16:58,울트라건설,004320,주권매매거래정지해제(회생절차개시결정),코스닥시장본부
20,2014-11-17 17:55,영진코퍼레이션,053330,주권매매거래정지해제(회생절차개시결정),코스닥시장본부
19,2014-11-17 17:55,영진코퍼레이션,053330,회생절차개시결정,영진코퍼레이션
21,2014-12-04 14:29,잘만테크,090120,회생절차개시결정[정],잘만테크
22,2014-12-05 17:59,승화프리텍,111610,회생절차개시결정,세왕
23,2014-12-05 18:13,승화프리텍,111610,주권매매거래정지기간변경(회생절차개시결정),코스닥시장본부
24,2015-01-07 18:04,동부건설,005960,회생절차개시결정,동부건설
25,2015-01-30 11:22,잘만테크,090120,[정정]회생절차개시결정,잘만테크
26,2015-02-06 17:22,휴먼엔,032860,회생절차개시결정,휴먼엔
27,2015-02-06 17:23,휴먼엔,032860,주권매매거래정지해제(회생절차개시결정),코스닥시장본부
28,2015-03-25 17:26,코데즈컴바인,047770,회생절차개시결정,코데즈컴바인
29,2015-04-07 17:20,경남기업,000800,회생절차개시결정,경남기업
30,2015-04-07 17:26,경남기업,000800,회생절차개시결정(자회사의 주요경영사항),경남기업
31,2015-04-23 10:10,웹솔루스,160350,회생절차 개시결정,웹솔루스
33,2015-07-06 17:44,시너지이노베이션,048870,주권매매거래정지해제(회생절차개시결정),코스닥시장본부
32,2015-07-06 17:44,시너지이노베이션,048870,회생절차개시결정,시너지이노베이션
34,2015-07-06 17:49,시너지이노베이션,048870,[채권]상장채권매매거래정지해제(회생절차개시결정),채권시장
35,2015-08-12 11:27,프렉코,082220,회생절차 개시결정,프렉코
36,2015-08-12 17:11,프렉코,082220,주권매매거래정지기간변경(회생절차 개시결정),코넥스시장
38,2015-09-03 16:35,삼부토건,001470,회생절차개시결정,삼부토건
37,2015-09-03 16:35,삼부토건,001470,매매거래정지및정지해제(회생절차개시결정),유가증권시장본부
40,2015-12-18 18:15,한국특강,007280,매매거래정지및정지해제(회생절차개시결정),유가증권시장본부
39,2015-12-18 18:15,한국특강,007280,회생절차개시결정,한국특강
41,2016-05-18 17:33,SBW생명과학,151910,회생절차개시결정,에스비더블유생명과학
42,2016-05-18 17:55,SBW생명과학,151910,주권매매거래정지해제(회생절차개시결정),코스닥시장본부
43,2016-07-22 17:35,디와이엘엔제이,207230,회생절차 개시결정,디와이엘엔제이
44,2016-08-01 17:53,STX중공업,071970,회생절차개시결정,STX중공업
45,2016-09-02 08:37,한진해운,117930,회생절차개시결정[정],한진해운
47,2016-09-08 16:48,케이에스피,073010,주권매매거래정지해제(회생절차개시결정),코스닥시장본부
46,2016-09-08 16:48,케이에스피,073010,회생절차개시결정,케이에스피
48,2016-09-13 17:11,한진해운,117930,[정정]회생절차개시결정[정],한진해운
49,2016-12-02 17:14,한진해운,117930,[정정]회생절차개시결정[정],한진해운
1,2017-01-09 14:49,한진해운,117930,[정정]회생절차개시결정,한진해운
2,2017-07-25 13:50,디피앤케이,189700,회생절차 개시결정,디피앤케이
3,2017-07-25 17:49,디피앤케이,189700,주권매매거래정지기간변경(회생절차 개시결정),코넥스시장
4,2017-10-18 14:14,캐로스,260490,회생절차 개시결정,캐로스
5,2017-10-18 14:15,캐로스,260490,주권매매거래정지기간변경(회생절차 개시결정),코넥스시장
6,2018-02-23 16:55,세기리텍,199870,회생절차 개시결정,세기리텍
7,2018-02-23 17:57,세기리텍,199870,주권매매거래정지기간변경(회생절차 개시결정),코넥스시장
8,2018-03-05 15:46,유디피,091270,회생절차 개시결정,유디피
9,2018-03-05 15:47,유디피,091270,주권매매거래정지기간변경(회생절차 개시결정),코넥스시장
10,2018-04-13 15:18,C&S자산관리,032040,회생절차개시결정,씨앤에스자산관리
11,2018-04-13 15:19,C&S자산관리,032040,주권매매거래정지기간변경(회생절차개시결정),코스닥시장본부
12,2018-07-02 17:40,상상인인더스트리,101000,회생절차개시결정,상상인인더스트리
13,2018-07-02 17:41,상상인인더스트리,101000,주권매매거래정지기간변경(회생절차개시결정),코스닥시장본부
15,2018-08-28 18:07,휴림네트웍스,192410,주권매매거래정지기간변경(회생절차개시결정),코스닥시장본부
14,2018-08-28 18:07,휴림네트웍스,192410,회생절차개시결정,휴림네트웍스
16,2018-09-12 17:53,지디,155960,회생절차개시결정,지디
17,2018-09-12 18:01,지디,155960,주권매매거래정지기간변경(회생절차개시결정),코스닥시장본부
18,2019-02-22 11:35,하이소닉,106080,회생절차개시결정,하이소닉
19,2019-02-22 11:36,하이소닉,106080,주권매매거래정지기간변경(회생절차개시결정),코스닥시장본부
20,2019-03-13 18:41,이엠앤아이,083470,회생절차개시결정,이엠앤아이
21,2019-03-13 18:46,이엠앤아이,083470,주권매매거래정지기간변경(회생절차개시결정),코스닥시장본부
22,2019-03-19 17:05,바이오빌,065940,회생절차개시결정[정],바이오빌
23,2019-03-27 17:04,에프티이앤이,065160,회생절차개시결정,라임
24,2019-03-27 17:11,에프티이앤이,065160,주권매매거래정지기간변경(회생절차 개시결정),코스닥시장본부
25,2019-04-10 19:18,바이오빌,065940,주권매매거래정지기간변경(회생절차개시결정),코스닥시장본부
26,2019-04-22 17:03,아이톡시,052770,회생절차개시결정,아이톡시
27,2019-04-22 17:10,아이톡시,052770,주권매매거래정지기간변경(회생절차개시결정),코스닥시장본부
28,2019-04-29 18:28,비츠로시스,054220,회생절차개시결정,비츠로시스
29,2019-04-29 18:32,비츠로시스,054220,주권매매거래정지기간변경(회생절차 개시결정),코스닥시장본부
30,2019-05-02 11:51,이엘케이,094190,회생절차개시결정[정],이엘케이
31,2019-05-02 12:04,이엘케이,094190,주권매매거래정지기간변경(회생절차개시결정),코스닥시장본부
32,2019-05-22 17:00,지유온,111820,회생절차개시결정[정],지유온
33,2019-05-22 17:11,지유온,111820,주권매매거래정지기간변경(회생절차개시결정),코스닥시장본부
34,2019-06-07 15:55,라이트론,069540,회생절차개시결정[정],라이트론
35,2019-06-07 15:58,라이트론,069540,주권매매거래정지기간변경(회생절차개시결정),코스닥시장본부
36,2019-06-07 17:03,라이트론,069540,[정정]회생절차개시결정,라이트론
37,2019-06-11 17:51,웅진에너지,103130,회생절차개시결정[정],웅진에너지
38,2019-06-12 15:50,웅진,016880,회생절차개시결정(자회사의 주요경영사항)[정],웅진
39,2019-06-14 16:50,바이오빌,065940,[정정]회생절차개시결정,바이오빌
40,2019-06-18 10:06,웅진에너지,103130,[정정]회생절차개시결정[정],웅진에너지
41,2019-06-18 10:40,웅진,016880,[정정]회생절차개시결정(자회사의 주요경영사항),웅진
42,2019-06-25 18:00,지유온,111820,[정정]회생절차개시결정[정],지유온
43,2019-07-04 16:47,이엘케이,094190,[정정]회생절차개시결정[정],이엘케이
44,2019-08-06 15:35,지유온,111820,[정정]회생절차개시결정,지유온
45,2019-08-13 14:35,이엘케이,094190,[정정]회생절차개시결정,이엘케이
46,2019-09-18 15:51,화진,134780,회생절차개시결정[정],에스엠화진
47,2019-09-18 16:09,화진,134780,주권매매거래정지기간변경(회생절차개시결정),코스닥시장본부
49,2019-09-20 15:56,테크엘,064520,주권매매거래정지기간변경(회생절차개시결정),코스닥시장본부
48,2019-09-20 15:56,테크엘,064520,회생절차개시결정[정],테크엘
50,2019-09-20 17:17,휴벡셀,212310,회생절차 개시결정[정],휴벡셀
51,2019-09-20 17:47,휴벡셀,212310,주권매매거래정지기간변경(회생절차 개시결정),코넥스시장
52,2019-09-20 18:35,휴벡셀,212310,[정정]회생절차 개시결정,휴벡셀
53,2019-10-11 12:04,웅진에너지,103130,[정정]회생절차개시결정[정],웅진에너지
54,2019-11-05 15:42,웅진에너지,103130,[정정]회생절차개시결정,웅진에너지
55,2019-11-21 12:49,테크엘,064520,[정정]회생절차개시결정,테크엘
56,2019-12-03 07:39,아센디오,012170,회생절차개시결정[정],아센디오
1,2020-01-10 17:35,아센디오,012170,[정정]회생절차개시결정,아센디오
2,2020-01-31 11:42,화진,134780,[정정]회생절차개시결정,에스엠화진
3,2020-03-13 18:24,스포츠서울,039670,회생절차개시결정[정],스포츠서울
4,2020-03-13 18:25,스포츠서울,039670,주권매매거래정지기간변경(회생절차개시결정),코스닥시장본부
5,2020-03-16 17:34,스포츠서울,039670,[정정]회생절차개시결정,스포츠서울
6,2020-03-20 20:09,크로바하이텍,043590,회생절차개시결정,크로바하이텍
7,2020-03-20 21:11,크로바하이텍,043590,"주권매매거래정지기간변경(상장폐지 사유 발생, 회생절차개시결정)",코스닥시장본부
8,2020-03-27 18:45,케스피온,079190,회생절차개시결정,케스피온
9,2020-03-27 20:20,케스피온,079190,주권매매거래정지기간변경(회생절차개시결정),코스닥시장본부
10,2020-04-06 10:57,씨티네트웍스,189540,회생절차 개시결정,씨티네트웍스
11,2020-04-24 14:20,와이투솔루션,011690,회생절차개시결정[정],와이투솔루션
12,2020-05-07 14:39,현진소재,053660,회생절차개시결정,현진소재
13,2020-05-07 14:54,현진소재,053660,주권매매거래정지기간변경(회생절차개시결정),코스닥시장본부
15,2020-05-11 18:39,CNT85,056730,주권매매거래정지기간변경(회생절차개시결정),코스닥시장본부
14,2020-05-11 18:39,CNT85,056730,회생절차개시결정[정],씨앤티85
16,2020-06-01 18:37,행남사,008800,회생절차개시결정[정],행남사
17,2020-06-01 18:40,행남사,008800,주권매매거래정지기간변경(회생절차개시결정),코스닥시장본부
18,2020-06-17 18:49,바이오빌,065940,회생절차개시결정,바이오빌
19,2020-06-30 17:11,아이엠텍,226350,회생절차개시결정[정],아이엠텍
20,2020-06-30 17:24,아이엠텍,226350,주권매매거래정지기간변경(회생절차개시결정),코스닥시장본부
21,2020-07-02 16:22,와이투솔루션,011690,[정정]회생절차개시결정,와이투솔루션
23,2020-07-08 17:51,이매진아시아,036260,주권매매거래정지기간변경(회생절차개시결정),코스닥시장본부
22,2020-07-08 17:51,이매진아시아,036260,회생절차개시결정[정],이매진아시아
25,2020-07-15 17:52,참존글로벌,158310,주권매매거래정지기간변경(회생절차개시결정),코스닥시장본부
24,2020-07-15 17:52,참존글로벌,158310,회생절차개시결정[정],참존글로벌
26,2020-07-22 15:31,CNT85,056730,[정정]회생절차개시결정,씨앤티85
27,2020-07-28 14:54,화신테크,086250,회생절차개시결정,화신테크
28,2020-07-28 15:35,화신테크,086250,주권매매거래정지기간변경(회생절차 개시결정),코스닥시장본부
29,2020-08-07 17:30,골드앤에스,035290,회생절차개시결정,골드앤에스
30,2020-08-07 17:31,골드앤에스,035290,주권매매거래정지기간변경(회생절차개시결정),코스닥시장본부
31,2020-08-21 15:48,휴엠앤씨,263920,회생절차개시결정,휴엠앤씨
32,2020-08-21 16:01,휴엠앤씨,263920,주권매매거래정지기간변경(회생절차 개시결정),코스닥시장본부
33,2020-08-26 14:23,아이엠텍,226350,[정정]회생절차개시결정[정],아이엠텍
34,2020-08-31 17:39,행남사,008800,[정정]회생절차개시결정,행남사
35,2020-10-06 16:33,이매진아시아,036260,[정정]회생절차개시결정[정],이매진아시아
36,2020-10-06 16:56,아이엠텍,226350,[정정]회생절차개시결정,아이엠텍
37,2020-10-16 17:56,에스엠벡셀,010580,회생절차개시결정,에스엠벡셀
38,2020-10-20 15:46,에이원알폼,234070,회생절차 개시결정,에이원알폼
39,2020-10-20 15:47,에이원알폼,234070,주권매매거래정지기간변경(회생절차 개시결정),코넥스시장
40,2020-10-29 16:45,한프,066110,회생절차개시결정,한프
42,2020-10-29 18:01,에이치엔티,176440,주권매매거래정지기간변경(회생절차개시결정),코스닥시장본부
41,2020-10-29 18:01,에이치엔티,176440,회생절차개시결정,미래오토스
43,2020-10-30 14:37,한프,066110,주권매매거래정지기간변경(회생절차 개시결정),코스닥시장본부
44,2020-11-09 17:14,이매진아시아,036260,[정정]회생절차개시결정,이매진아시아
45,2020-11-13 15:33,참존글로벌,158310,[정정]회생절차개시결정[정],참존글로벌
46,2020-12-22 17:40,아리온,058220,회생절차개시결정,아리온테크놀로지
47,2020-12-22 17:45,아리온,058220,주권매매거래정지기간변경(회생절차 개시결정),코스닥시장본부
48,2021-01-13 14:46,참존글로벌,158310,[정정]회생절차개시결정[정],참존글로벌
49,2021-01-20 18:22,이엠네트웍스,087730,주권매매거래정지기간변경(회생절차 개시결정)[정],코스닥시장본부
50,2021-02-23 10:39,티티씨디펜스,309900,회생절차 개시결정,티티씨디펜스
52,2021-02-23 14:37,이엠네트웍스,087730,회생절차개시결정,이엠네트웍스
51,2021-02-23 14:37,이엠네트웍스,087730,주권매매거래정지기간변경(회생절차 개시결정),코스닥시장본부
53,2021-03-22 18:32,구스앤홈,329050,회생절차 개시결정,구스앤홈
54,2021-03-22 18:37,구스앤홈,329050,주권매매거래정지기간변경(회생절차 개시결정 및 지정자문인 선임계약 해지),코넥스시장
55,2021-04-15 12:46,KG모빌리티,003620,회생절차개시결정,케이지모빌리티
57,2021-04-15 18:15,코너스톤네트웍스,033110,주권매매거래정지기간변경(회생절차개시결정),코스닥시장본부
56,2021-04-15 18:15,코너스톤네트웍스,033110,회생절차개시결정,코너스톤네트웍스
58,2021-04-19 12:00,참존글로벌,158310,[정정]회생절차개시결정[정],참존글로벌
60,2021-04-30 17:41,디에스앤엘,141020,회생절차개시결정,디에스앤엘
59,2021-04-30 17:41,디에스앤엘,141020,주권매매거래정지기간변경(회생절차개시결정),코스닥시장본부
61,2021-04-30 18:00,에스제이케이,080440,회생절차개시결정,에스제이케이
62,2021-04-30 18:03,에스제이케이,080440,주권매매거래정지기간변경(회생절차 개시결정),코스닥시장본부
63,2021-05-11 17:34,에스제이케이,080440,기타 경영사항(자율공시)(회생절차 개시결정에 대한 즉시항고장 접수),에스제이케이
64,2021-05-17 15:16,참존글로벌,158310,[정정]회생절차개시결정,참존글로벌
66,2021-05-27 17:37,엔지스테크널러지,208860,주권매매거래정지기간변경(회생절차 개시결정),코스닥시장본부
65,2021-05-27 17:37,엔지스테크널러지,208860,회생절차개시결정,엔지스테크널러지
67,2021-06-17 11:09,맥스로텍,141070,회생절차개시결정,맥스로텍
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
