,농림어업,재배업,축산업,임업,어업,광업,제조업,음식료품 제조업,섬유 및 가죽제품 제조업,"목재, 종이, 인쇄 및 복제업",코크스 및 석유정제품 제조업,화학물질 및 화학제품 제조업,비금속광물제품 제조업,1차금속 제조업,금속가공제품 제조업,"컴퓨터, 전자 및 광학기기 제조업",전기장비 제조업,기계 및 장비 제조업,운송장비 제조업,기타 제조업 및 산업용 장비 수리업,"전기, 가스 및 수도사업",전기업,"가스, 증기 및 공기조절 공급업","수도, 하수 및 폐기물 처리, 원료 재생업",건설업,건물건설업,주거용 건물건설업,비주거용 건물건설업,토목건설업,전문건설업,서비스업,도소매 및 숙박음식업,도소매업,숙박 및 음식점업,운수업,정보통신업,통신업,"출판, 방송, 영상, 정보서비스","전문, 과학 및 기술관련 서비스업",사업지원 서비스업,교육서비스업,문화 및 기타 서비스업,"예술, 스포츠 및 여가관련 서비스업",기타 서비스업,"국내총생산(시장가격, GDP)"
2011,-1.0,0.8,-6.8,-3.1,-1.8,-11.8,5.2,-0.9,1.6,0.5,10.3,2.1,0.1,2.6,3.7,10.8,1.3,6.0,7.4,2.9,-0.2,0.9,-7.3,4.7,-4.8,-4.9,-13.7,1.4,-8.9,-1.4,3.9,4.4,6.0,-1.5,4.5,5.4,-0.3,8.6,4.6,8.0,2.5,-0.4,-3.2,2.0,3.7
2012,-0.5,-0.8,7.7,-9.1,-3.4,-3.6,1.4,6.0,8.1,-0.1,-7.1,-0.7,-2.8,-3.9,7.8,2.7,3.3,3.4,-0.8,3.1,1.8,-0.9,0.3,7.5,-0.5,0.4,6.2,-3.1,1.0,-3.2,3.4,3.6,4.4,0.8,5.8,4.1,-3.5,7.8,3.2,3.6,2.0,0.1,-2.0,1.9,2.4
2013,4.2,7.0,3.7,-4.4,-7.3,4.2,3.1,6.5,2.5,-0.2,-0.1,3.8,5.7,1.6,-0.9,5.6,5.6,2.0,0.2,5.9,-2.5,-4.9,-6.2,4.7,4.3,9.9,18.3,4.3,0.8,-4.1,3.6,3.5,4.7,-0.9,1.5,5.9,7.8,5.1,5.1,8.4,2.4,0.1,-1.1,1.2,3.2
2014,5.1,5.3,-4.0,17.4,6.5,0.3,3.2,0.6,0.5,3.5,5.2,1.7,-0.1,5.2,6.3,5.5,3.1,1.7,-0.6,8.4,2.5,8.5,-10.5,4.4,1.5,4.7,8.9,1.5,-0.4,-4.4,3.1,1.0,0.7,2.0,1.2,1.7,-2.5,3.6,5.2,6.1,0.5,-1.0,-3.0,0.6,3.2
2015,-0.2,0.0,0.9,-3.6,-1.6,-9.2,1.7,4.1,-7.1,1.0,1.7,4.2,5.0,1.0,8.1,1.6,-4.9,-1.1,0.1,9.9,3.1,11.1,-18.8,3.2,6.2,9.0,16.8,2.7,3.5,1.5,3.1,3.3,3.8,1.8,2.4,1.0,0.6,1.2,5.0,4.9,1.2,-3.4,-5.1,-2.0,2.8
2016,-5.6,-5.0,-0.7,-8.8,-19.5,7.0,2.3,-0.3,-13.2,8.5,8.8,0.5,4.3,1.2,-0.1,10.3,-3.4,-4.4,1.6,1.6,-1.2,-2.3,3.8,-1.7,9.8,18.4,28.9,8.7,-6.3,-0.2,2.9,2.7,2.2,4.5,0.4,5.3,3.5,6.0,1.3,4.1,1.3,3.4,3.9,3.0,2.9
2017,2.3,4.5,-6.2,3.7,6.0,-4.0,3.7,3.9,1.9,-4.3,-0.2,3.4,10.4,2.9,-0.3,4.8,9.5,22.5,-8.1,5.4,6.2,7.8,16.2,-4.2,5.9,11.3,13.4,8.9,-6.5,-1.9,2.6,1.8,2.6,-0.5,2.7,3.1,-2.8,5.3,0.5,4.7,2.0,-0.8,0.2,-1.7,3.2
2018,0.2,-4.1,10.0,2.0,1.9,-7.4,3.3,2.9,-5.1,1.6,-5.6,2.5,-0.4,-3.8,-1.3,11.4,6.2,0.7,-2.3,4.8,-1.7,-3.0,-0.2,0.3,-2.8,-2.0,0.6,-5.0,-8.7,-1.1,3.8,2.9,2.5,4.0,3.7,4.5,2.7,5.1,3.4,4.7,1.7,2.7,10.3,-3.5,2.9
2019,3.9,3.3,8.2,0.3,3.3,-6.2,1.1,3.8,-8.3,-1.1,-5.9,-0.9,-4.8,-0.9,-1.8,6.4,1.6,-0.9,1.9,-9.1,4.3,8.3,0.5,0.2,-2.6,-6.5,-12.5,0.8,6.2,5.5,3.4,3.5,3.5,3.6,1.7,4.6,8.7,3.4,2.0,3.7,1.6,2.6,5.6,-0.1,2.2
2020,-5.8,-8.6,1.1,-2.8,-0.8,-3.3,-1.1,2.6,-6.4,-0.7,-12.3,-0.3,-4.2,-3.3,-6.3,5.2,-0.8,1.0,-10.1,-3.1,4.1,8.9,-1.8,-0.2,-1.3,-3.0,-3.5,-2.5,2.4,1.6,-0.8,-5.6,-1.3,-18.0,-17.3,4.4,6.8,3.7,2.3,-3.9,-1.9,-17.1,-26.7,-8.0,-0.7
2021,3.8,4.7,-0.3,-0.1,7.6,1.4,6.9,1.8,0.2,2.4,0.4,5.7,7.0,5.6,-3.5,12.9,7.2,11.2,5.4,1.0,4.0,2.3,9.4,4.3,-2.6,1.5,2.2,0.7,-11.3,-9.1,3.8,3.4,4.0,1.1,5.3,5.5,4.1,5.9,2.8,2.7,4.2,2.9,5.7,0.8,4.1
2022,-1.3,-1.8,1.6,0.4,-6.3,-5.5,1.4,1.4,-3.5,-4.5,2.1,-3.7,-3.2,-5.7,-4.0,7.9,-0.8,1.6,9.2,-1.4,1.9,7.0,0.9,-3.4,0.3,3.4,3.6,3.3,-0.4,-10.2,4.2,6.8,3.7,18.2,9.2,4.4,3.4,4.6,2.5,2.5,3.5,11.8,19.9,5.6,2.6